the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Furn_Code,Address,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.9400985807017 40.57799176781722),3,Brooklyn,315,48,45,22,8,BR02714AB,MACKENZIE (BR02222),40.578,-73.9401,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.98178855736663 40.747343735940404),1,Manhattan,106,2,75,28,12,MN0203AB,MADISON AV (MN01634),40.747352,-73.98179,Midtown South-Flatiron-Union Square,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95210556338652 40.80292572437303),1,Manhattan,110,9,70,30,13,MN01007AB,MALCOM X,40.802934,-73.952107,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.85947559132579 40.83871071350655),2,Bronx,209,18,87,32,14,BX03276AB,METROPOLITAN AVE,40.838719,-73.859477,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9469985739634 40.6556917526626),3,Brooklyn,309,40,43,20,9,BR02249AB,NEW YORK AV (BR02985),40.6557,-73.947,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94709857319869 40.65589175311559),3,Brooklyn,309,40,43,20,9,BR0684AB,PARKSIDE (BR02977),40.6559,-73.9471,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96039856668341 40.709391742950785),3,Brooklyn,301,34,50,18,7,BR02946AB,ROEBLING ST,40.7094,-73.9604,Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8441435944172 40.85788870928914),2,Bronx,211,13,80,34,14,BX03396AB,SEYMOUR (BX0044),40.857897,-73.844145,Morris Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84406459406007 40.85787970928374),2,Bronx,211,13,80,34,14,BX0044AB,SEYMOUR (BX03396),40.857888,-73.844066,Morris Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89129858195507 40.82059171822908),2,Bronx,202,17,85,32,15,BX03403AB,SOUTHERN BLVD (BX03330),40.8206,-73.8913,Hunts Point,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8913075812773 40.82057571857976),2,Bronx,202,17,85,32,15,BX03330AB,SOUTHERN BLVD (BX03403),40.820584,-73.891309,Hunts Point,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85885259222736 40.8246917161645),2,Bronx,209,18,87,34,15,BX03429AB,STORY AVE (BX03338),40.8247,-73.858854,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.85888159213273 40.82475571664048),2,Bronx,209,18,87,34,15,BX03338AB,STORY AVE (BX03429),40.824764,-73.858883,Soundview-Clason Point,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.90154157569573 40.86829870992467),2,Bronx,207,14,81,33,13,BX03402AB,UNIVERSITY AVE (BX03237),40.868307,-73.901543,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90145857552292 40.86827370992764),2,Bronx,207,14,81,33,13,BX03237AB,UNIVERSITY AVE (BX03402),40.868282,-73.90146,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9005055757552 40.86244871039619),2,Bronx,205,14,86,33,15,BX03351AB,WALTON AV (BX3515),40.862457,-73.900507,Fordham Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89147858179678 40.82521371763673),2,Bronx,202,17,85,32,15,BX03203AB,WESTCHESTER AVE,40.825222,-73.89148,Longwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84317659638243 40.84030371289733),2,Bronx,210,13,82,34,14,BX03361AB,WESTCHESTER AVE,40.840312,-73.843178,Westchester Square,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.82689860015999 40.852791709918066),2,Bronx,210,13,82,34,14,BX03414AB,WESTCHESTER AVE (BX0023),40.8528,-73.8269,Pelham Bay Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82689860068994 40.852691710170554),2,Bronx,210,13,82,34,14,BX0023AB,WESTCHESTER AVE (BX03414),40.8527,-73.8269,Pelham Bay Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82709260075401 40.85221770961183),2,Bronx,210,13,82,34,14,BX03412AB,WILKINSON (BX0022),40.852226,-73.827094,Pelham Bay Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82711660017041 40.852150710172836),2,Bronx,210,13,82,34,14,BX0022AB,WILKINSON (BX03412),40.852159,-73.827118,Pelham Bay Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87104559385301 40.73313073500711),4,Queens,404,25,35,16,6,QN04788AB,WOODHAVEN (QN04928),40.733139,-73.871047,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.86099859118353 40.83379171526527),2,Bronx,209,18,87,33,15,BX03369AB,HUGH GRANT NW,40.8338,-73.861,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.96989856103033 40.747991735623025),1,Manhattan,106,4,74,28,12,MN01483AB,1 AVENUE,40.748,-73.9699,Murray Hill-Kips Bay,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.97382655943706 40.74378973672087),1,Manhattan,106,2,74,28,12,MN01564AB,1 AVENUE,40.743798,-73.973828,Murray Hill-Kips Bay,AE,,2
POINT (-73.97387256017096 40.74401873613655),1,Manhattan,106,2,74,28,12,MN01565AB,1 AVENUE,40.744027,-73.973874,Murray Hill-Kips Bay,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.99707855679932 40.68008474980553),3,Brooklyn,306,39,52,26,7,BR02933AB,1 PLACE,40.680093,-73.99708,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91814157082386 40.864036711378084),1,Manhattan,112,10,72,31,13,MN01485AB,10 AVE (MN01484),40.864045,-73.918143,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91811157061407 40.86402071089839),1,Manhattan,112,10,72,31,13,MN01484AB,10 AVE (MN01485),40.864029,-73.918113,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91860557017968 40.86445471111242),1,Manhattan,112,10,72,31,13,MN01487AB,10 AVE (MN01486),40.864463,-73.918607,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.91863857005107 40.86448171125897),1,Manhattan,112,10,72,31,13,MN01486AB,10 AVE (MN01487),40.86449,-73.91864,Inwood,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.99310655940235 40.644838756528344),3,Brooklyn,312,38,51,21,7,BR02929AB,10 AVENUE,40.644847,-73.993108,Sunset Park (East)-Borough Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8191986120216 40.69169174111016),4,Queens,409,28,24,10,5,QN04517AB,101 AVENUE,40.6917,-73.8192,South Richmond Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84614460413991 40.68465274308288),4,Queens,409,32,38,15,7,QN05024AB,101ST AVE,40.684661,-73.846146,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.84632860455322 40.68440574349373),4,Queens,409,32,23,15,7,QN05027AB,101ST AVE (QN05025AB),40.684414,-73.84633,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.84630060408676 40.68434374344395),4,Queens,409,32,23,15,7,QN05025AB,101ST AVE (QN05027AB),40.684352,-73.846302,Ozone Park (North),X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.95101656391148 40.791322725985665),1,Manhattan,111,8,68,30,13,MN01103AB,102 ST,40.791331,-73.951018,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.86214159576014 40.74438473222698),4,Queens,404,21,39,13,14,QN04307AB,102 STREET,40.744393,-73.862143,Corona,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.763098630533 40.69929173739314),4,Queens,412,27,29,14,5,QN04981AB,113 AVE,40.6993,-73.7631,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76153663041354 40.695480738629236),4,Queens,412,27,33,14,5,QN04996AB,115 ROAD,40.695489,-73.761538,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94674656480093 40.80047872448159),1,Manhattan,110,9,70,30,13,MN01014AB,116 STREET,40.800487,-73.946748,Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7733816278241 40.6858157409922),4,Queens,412,27,32,10,5,QN04940AB,119 AVENUE,40.685824,-73.773383,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7449986363991 40.692691738280054),4,Queens,413,27,33,14,5,QN04988AB,119 AVENUE,40.6927,-73.745,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84559859955617 40.772891726385424),4,Queens,407,19,27,11,14,QN04950AB,123 STREET,40.7729,-73.8456,College Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.7732336277211 40.67969274212645),4,Queens,412,27,32,10,5,QN04999AB,127TH AVE,40.679701,-73.773235,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.80946861622056 40.675190743821894),4,Queens,410,28,31,10,5,QN04110AB,128 STREET,40.675199,-73.80947,South Ozone Park,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98659856227167 40.640891757401285),3,Brooklyn,312,39,44,17,10,BR02264AB,13 AVE,40.6409,-73.9866,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77091662865182 40.67820074236983),4,Queens,412,27,32,10,5,QN04604AB,130TH AV,40.678209,-73.770918,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93927456748557 40.81065072201249),1,Manhattan,110,9,70,30,13,MN01488AB,132 STREET,40.810659,-73.939276,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.76809862944216 40.676491742595616),4,Queens,412,27,32,10,5,QN04600AB,133RD AV,40.6765,-73.7681,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.76591563125253 40.674893742727726),4,Queens,412,28,32,10,5,QN04601AB,134TH AV,40.674902,-73.765917,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.76599863052179 40.67520074239523),4,Queens,412,27,32,10,5,QN04395AB,134TH RD,40.675209,-73.766,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82912760442727 40.77213672596785),4,Queens,407,20,40,11,6,QN04966AB,139 STREET,40.772145,-73.829129,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.7737026280087 40.670941744047454),4,Queens,412,31,32,10,5,QN04212AB,140AV,40.67095,-73.773704,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.7565986343503 40.671191743151226),4,Queens,412,27,29,14,5,QN04924AB,141 AV,40.6712,-73.7566,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82757660503286 40.7730187254893),4,Queens,407,20,40,11,6,QN04972AB,141 ST,40.773027,-73.827578,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.73999864004182 40.659491744975334),4,Queens,413,31,31,10,5,QN04949AB,145 AVENUE,40.6595,-73.74,Rosedale,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.81699860877606 40.75979172822716),4,Queens,407,20,40,16,6,QN05004AB,147TH ST (SE CORNER),40.7598,-73.817,East Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90423457840117 40.81256972051053),2,Bronx,202,17,84,32,15,BX03089AB,149 STREET,40.812578,-73.904236,Longwood,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.00919855624855 40.611091763934915),3,Brooklyn,311,43,47,22,11,BR03055AB,15 AVE,40.6111,-74.0092,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.00969855671894 40.61169176355947),3,Brooklyn,311,43,47,22,11,BR02939AB,15 AVENUE,40.6117,-74.0097,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.989587560144 40.66539075254516),3,Brooklyn,307,39,52,21,7,BR02980AB,15 STREET,40.665399,-73.989589,Windsor Terrace-South Slope,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.787698624217 40.672791743791),4,Queens,412,28,32,10,5,QN04935AB,150 STREET,40.6728,-73.7877,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.90359857845318 40.814891719988196),2,Bronx,201,8,84,29,15,BX03003AB,152ND STREET,40.8149,-73.9036,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84975560468402 40.66447574755449),4,Queens,410,32,23,15,8,QN04959AB,155 AVENUE,40.664484,-73.849757,Howard Beach-Lindenwood,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.84079860773554 40.66209174773541),4,Queens,410,32,23,15,8,QN04958AB,157 AVENUE,40.6621,-73.8408,Howard Beach-Lindenwood,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.95468957540068 40.58800376608864),3,Brooklyn,315,48,45,22,9,BR03078AB,15TH ST,40.588012,-73.954691,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-73.80324061233402 40.78156172341116),4,Queens,407,19,26,11,3,QN04941AB,160 STREET,40.78157,-73.803242,Whitestone-Beechhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80499861352273 40.753691728936865),4,Queens,407,20,40,16,6,QN04953AB,162 STREET,40.7537,-73.805,East Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79529861526126 40.772591724329814),4,Queens,407,19,26,11,6,QN04353AB,169 ST,40.7726,-73.7953,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00750755742077 40.61008576406201),3,Brooklyn,311,43,47,22,11,BR02013AB,16TH AVE,40.610094,-74.007509,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.78789861832168 40.75789172674163),4,Queens,411,19,26,11,6,QN04961AB,194 STREET,40.7579,-73.7879,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77765862336918 40.734921730995524),4,Queens,408,23,25,11,6,QN0450AB,195 STREET,40.73493,-73.77766,Fresh Meadows-Utopia,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.76491562825389 40.71877573434136),4,Queens,408,23,24,14,5,QN04963AB,198 STREET,40.718784,-73.764917,Jamaica Estates-Holliswood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98911555665029 40.723220740749376),1,Manhattan,103,2,66,26,12,MN01582AB,1ST AVE,40.723229,-73.989117,East Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93439856943553 40.803191723791635),1,Manhattan,111,8,68,30,13,MN01643AB,2 AVE,40.8032,-73.9344,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.93499856989202 40.775091729253276),4,Queens,401,22,37,12,12,QN04993AB,2 STREET,40.7751,-73.935,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-74.11884252426293 40.57523677471695),5,Staten Island,502,50,62,24,11,SI05203AB,2 STREET,40.575245,-74.118844,New Dorp-Midland Beach,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82199860635104 40.78199172348486),4,Queens,407,19,26,11,3,QN04954AB,20 AVENUE,40.782,-73.822,Whitestone-Beechhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99922956022662 40.59997076560354),3,Brooklyn,311,47,47,23,11,BR02922AB,21 AVENUE,40.599979,-73.999231,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91489857596146 40.78219172724662),4,Queens,401,22,36,12,14,QN04994AB,21 AVENUE,40.7822,-73.9149,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94714656837031 40.748163734704626),4,Queens,402,26,37,12,12,QN04202AB,21 ST,40.748172,-73.947148,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.77987861940694 40.782940721715626),4,Queens,407,19,26,11,3,QN05003AB,212TH ST (SW CORNER),40.782949,-73.77988,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.74493763514931 40.71600673364532),4,Queens,413,27,33,14,5,QN04028AB,213TH ST,40.716015,-73.744939,Queens Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74131663785408 40.69558873809256),4,Queens,413,27,33,14,5,QN04161AB,219 ST,40.695597,-73.741318,Cambria Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75859862728807 40.76179172561115),4,Queens,411,19,26,11,6,QN04900AB,223 ST,40.7618,-73.7586,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90278357405666 40.8815317074281),2,Bronx,208,11,81,33,13,BX9012AB,234 STREET,40.88154,-73.902785,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.73668263595285 40.73801772947822),4,Queens,413,23,24,14,3,QN04906AB,235TH ST,40.738026,-73.736684,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93319857158025 40.76039173155345),4,Queens,401,26,37,12,12,QN04944AB,24 STREET,40.7604,-73.9332,Queensbridge-Ravenswood-Dutch Kills,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.99543155793832 40.65953575410918),3,Brooklyn,307,38,51,20,7,BR02312AB,24TH ST,40.659544,-73.995433,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90419857206562 40.906691702313935),2,Bronx,208,11,81,34,16,BX0001AB,259 ST SW,40.9067,-73.9042,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99590155806773 40.658834753882246),3,Brooklyn,307,38,51,21,7,BR02332AB,25TH ST,40.658843,-73.995903,Green-Wood Cemetery,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84679859880187 40.77459172589082),4,Queens,407,19,27,11,14,QN04938AB,26 AVENUE,40.7746,-73.8468,College Point,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93209857121576 40.77399172866027),4,Queens,401,22,37,12,12,QN04997AB,27 AVENUE,40.774,-73.9321,Old Astoria-Hallets Point,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.93861057039521 40.749586733777),4,Queens,402,26,37,12,12,QN04974AB,28TH ST,40.749595,-73.938612,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93929557031825 40.74964073367706),4,Queens,402,26,37,12,12,QN04636AB,28TH ST / QUEENS PLAZA S,40.749649,-73.939297,Long Island City-Hunters Point,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94635356666375 40.78489572736671),1,Manhattan,111,8,68,29,13,MN0091AB,2ND AVE,40.784904,-73.946355,East Harlem (South),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.94741856550273 40.78449772738368),1,Manhattan,111,5,68,29,12,MN0093AB,2ND AVE,40.784506,-73.94742,East Harlem (South),X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.95861656375413 40.76880173115366),1,Manhattan,108,4,76,28,12,MN0107AB,2ND AVE,40.76881,-73.958618,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95869856339618 40.7690447308491),1,Manhattan,108,4,76,28,12,MN0108AB,2ND AVE,40.769053,-73.9587,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9152865774002 40.763682730497834),4,Queens,401,22,36,12,12,QN04968AB,30 AVENUE,40.763691,-73.915288,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91469857755068 40.76409172995227),4,Queens,401,22,36,12,12,QN04890AB,30TH AVENUE,40.7641,-73.9147,Astoria (East)-Woodside (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92869857331293 40.76849173029689),4,Queens,401,22,36,12,12,QN04903AB,30TH DRIVE,40.7685,-73.9287,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.93019857235952 40.76709173036423),4,Queens,401,22,36,12,12,QN04984AB,31 AVE,40.7671,-73.9302,Old Astoria-Hallets Point,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.92827757380917 40.75794073190621),4,Queens,401,26,30,12,12,QN04502AB,31 STREET,40.757949,-73.928279,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91744657613305 40.770080728946255),4,Queens,401,22,36,12,12,QN04936AB,31 STREET,40.770089,-73.917448,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86129859557214 40.75999172918366),4,Queens,403,21,35,13,14,QN04998AB,32 AVENUE,40.76,-73.8613,East Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79049861690949 40.767091725301896),4,Queens,411,19,26,11,6,QN0386AB,33 AVE,40.7671,-73.7905,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93249857222939 40.76439173061833),4,Queens,401,22,36,12,12,QN04956AB,33 AVENUE,40.7644,-73.9325,Queensbridge-Ravenswood-Dutch Kills,X,AREA OF MINIMAL FLOOD HAZARD,3
