locationID,Borough,Zone,service_zone,avg,max,count
168,Bronx,Mott Haven/Port Morris,Boro Zone,0.1205483821934564,38.2,2516.0
258,Queens,Woodhaven,Boro Zone,0.119785449464874,23.0,859.0
15,Queens,Bay Terrace/Fort Totten,Boro Zone,0.1191825595087582,38.8,519.0
16,Queens,Bayside,Boro Zone,0.1191439869855643,20.0,853.0
121,Queens,Hillcrest/Pomonok,Boro Zone,0.1190044391331985,18.2,1270.0
171,Queens,Murray Hill-Queens,Boro Zone,0.1126803451815386,23.0,740.0
175,Queens,Oakland Gardens,Boro Zone,0.1121496221388488,15.58,472.0
9,Queens,Auburndale,Boro Zone,0.1105498906270204,46.8,621.0
203,Queens,Rosedale,Boro Zone,0.1093967504345122,33.2,590.0
56,Queens,Corona,Boro Zone,0.1082976546539125,20.58,1155.0
131,Queens,Jamaica Estates,Boro Zone,0.1080815085702406,28.2,967.0
11,Brooklyn,Bath Beach,Boro Zone,0.1074771768689075,19.0,342.0
215,Queens,South Jamaica,Boro Zone,0.1072252325062788,25.0,1466.0
69,Bronx,East Concourse/Concourse Village,Boro Zone,0.1066457818747963,80.0,1528.0
150,Brooklyn,Manhattan Beach,Boro Zone,0.1065328411471755,25.0,547.0
85,Brooklyn,Erasmus,Boro Zone,0.1065282674267749,27.5,691.0
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,0.1063343406827946,55.0,790.0
19,Queens,Bellerose,Boro Zone,0.1062840170210375,20.53,435.0
165,Brooklyn,Midwood,Boro Zone,0.1051589295969673,66.25,1060.0
63,Brooklyn,Cypress Hills,Boro Zone,0.1047457769675347,60.0,475.0
178,Brooklyn,Ocean Parkway South,Boro Zone,0.1037065638782382,29.0,310.0
210,Brooklyn,Sheepshead Bay,Boro Zone,0.1018536761519214,20.0,1412.0
22,Brooklyn,Bensonhurst West,Boro Zone,0.1010864922468622,30.0,879.0
149,Brooklyn,Madison,Boro Zone,0.1004657382412177,20.08,664.0
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,0.0999455312842893,25.81,126.0
101,Queens,Glen Oaks,Boro Zone,0.0991966433381535,22.9,438.0
26,Brooklyn,Borough Park,Boro Zone,0.0981566370234027,55.6,976.0
20,Bronx,Belmont,Boro Zone,0.097254803340932,22.33,475.0
218,Queens,Springfield Gardens North,Boro Zone,0.0969434595564985,21.8,1078.0
241,Bronx,Van Cortlandt Village,Boro Zone,0.0966397900633517,36.0,690.0
123,Brooklyn,Homecrest,Boro Zone,0.0957986397448299,50.0,701.0
197,Queens,Richmond Hill,Boro Zone,0.0953254414393224,25.0,1868.0
177,Brooklyn,Ocean Hill,Boro Zone,0.0951836795054928,50.0,963.0
185,Bronx,Pelham Parkway,Boro Zone,0.0938373681232021,50.08,723.0
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,0.0934986691501609,24.01,138.0
240,Bronx,Van Cortlandt Park,Boro Zone,0.0931042302937921,18.48,150.0
119,Bronx,Highbridge,Boro Zone,0.0925463578200578,20.0,880.0
21,Brooklyn,Bensonhurst East,Boro Zone,0.0902796646760893,19.78,608.0
38,Queens,Cambria Heights,Boro Zone,0.0895130587617904,27.7,564.0
212,Bronx,Soundview/Bruckner,Boro Zone,0.0886355314594933,83.83,669.0
182,Bronx,Parkchester,Boro Zone,0.0884521390552867,66.11,852.0
159,Bronx,Melrose South,Boro Zone,0.0879224583737149,40.0,1029.0
191,Queens,Queens Village,Boro Zone,0.0855891178560033,114.59,803.0
147,Bronx,Longwood,Boro Zone,0.0850645706682611,38.2,409.0
126,Bronx,Hunts Point,Boro Zone,0.07969277893353,15.0,489.0
18,Bronx,Bedford Park,Boro Zone,0.0796113752019457,77.82,634.0
139,Queens,Laurelton,Boro Zone,0.0789036773431125,22.7,608.0
55,Brooklyn,Coney Island,Boro Zone,0.0781346399522548,96.64,1409.0
71,Brooklyn,East Flatbush/Farragut,Boro Zone,0.0772080821118277,20.0,809.0
29,Brooklyn,Brighton Beach,Boro Zone,0.0761066441422031,54.3,727.0
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,0.0757726167296175,23.65,915.0
91,Brooklyn,Flatlands,Boro Zone,0.0735978763434537,55.0,1092.0
3,Bronx,Allerton/Pelham Gardens,Boro Zone,0.0734840879602385,16.36,532.0
167,Bronx,Morrisania/Melrose,Boro Zone,0.0729896330322843,101.0,488.0
205,Queens,Saint Albans,Boro Zone,0.0716047245329943,18.58,1505.0
259,Bronx,Woodlawn/Wakefield,Boro Zone,0.0700768218738905,48.42,604.0
122,Queens,Hollis,Boro Zone,0.0688959249810947,30.0,418.0
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,0.0672435536968239,90.0,762.0
108,Brooklyn,Gravesend,Boro Zone,0.0667367223649864,45.58,504.0
248,Bronx,West Farms/Bronx River,Boro Zone,0.065920838777999,47.0,501.0
169,Bronx,Mount Hope,Boro Zone,0.0658078674337455,57.41,707.0
86,Queens,Far Rockaway,Boro Zone,0.064190108653818,27.8,481.0
174,Bronx,Norwood,Boro Zone,0.063062705398136,30.3,854.0
39,Brooklyn,Canarsie,Boro Zone,0.0621157753256488,265.74,1417.0
60,Bronx,Crotona Park East,Boro Zone,0.060124542540356,13.59,326.0
183,Bronx,Pelham Bay,Boro Zone,0.0592503476246031,15.85,364.0
242,Bronx,Van Nest/Morris Park,Boro Zone,0.0586029692581251,38.0,1143.0
250,Bronx,Westchester Village/Unionport,Boro Zone,0.0561955080645812,14.83,550.0
47,Bronx,Claremont/Bathgate,Boro Zone,0.0541737662420373,15.78,465.0
117,Queens,Hammels/Arverne,Boro Zone,0.0537049744640052,21.66,484.0
76,Brooklyn,East New York,Boro Zone,0.0530270606527619,25.0,1744.0
213,Bronx,Soundview/Castle Hill,Boro Zone,0.0525270415433178,83.83,1286.0
235,Bronx,University Heights/Morris Heights,Boro Zone,0.0522189667989199,19.76,829.0
32,Bronx,Bronxdale,Boro Zone,0.0482632489725246,20.41,470.0
222,Brooklyn,Starrett City,Boro Zone,0.0395939710686206,25.0,430.0
254,Bronx,Williamsbridge/Olinville,Boro Zone,0.0381156211208202,40.0,899.0
35,Brooklyn,Brownsville,Boro Zone,0.0344621946446784,14.28,927.0
81,Bronx,Eastchester,Boro Zone,0.034383100119814,20.13,556.0
51,Bronx,Co-Op City,Boro Zone,0.0309005176944211,20.8,1095.0
